Club,Average_Age,Average_potential,Highest_Paid_Player,Highest_Paid_Wage(Euros),Position,Total_Players,Country_with_most_players
Legia Warszawa,27,72,Carlitos,12,ST,27,Poland
Leicester City,26,78,J. Vardy,96,ST,32,England
Levante UD,25,77,Borja Mayoral,86,ST,32,Spain
Lillestrøm SK,24,67,E. Knudtzon,3,ST,24,Norway
Limerick FC,23,61,B. Dennehy,1,LB,19,Republic of Ireland
Lincoln City,25,65,J. Shackell,10,LCB,28,England
Liverpool,24,82,M. Salah,255,RM,33,England
Livingston FC,24,67,R. Hardie,7,ST,28,Scotland
Livorno,26,68,N. Giannetti,15,ST,30,Italy
Lobos BUAP,27,69,J. Rodríguez,22,GK,27,Mexico
Lokomotiv Moscow,27,76,R. Tugarev,1,LM,28,Russia
Los Angeles FC,26,73,C. Vela,15,RW,25,United States
Luton Town,24,68,J. Grant,16,LM,25,England
MKE Ankaragücü,29,71,T. Bifouma,21,LM,29,Turkey
MSV Duisburg,25,71,K. Wolze,7,LB,26,Germany
Macclesfield Town,25,64,K. O'Hara,8,GK,26,England
Malmö FF,25,72,F. Bachirou,7,CM,27,Sweden
Manchester City,24,84,K. De Bruyne,355,RCM,33,England
Manchester United,25,83,De Gea,260,GK,33,England
Mansfield Town,24,68,T. Walker,10,RS,28,England
Medipol Ba�Yak�Yehir FK,27,74,A. Turan,120,CM,28,Turkey
Melbourne City FC,25,68,B. Fornaroli,15,ST,25,Australia
Melbourne Victory,26,69,K. Honda,12,RM,21,Australia
Middlesbrough,26,74,M. Beši�?,58,LCM,30,England
Miedź Legnica,27,66,P. Forsell,3,RF,27,Poland
Milan,25,83,G. Higuaín,245,LS,27,Italy
Millonarios FC,27,71,C. Marrugo,8,CAM,28,Colombia
Millwall,25,70,S. Williams,12,CDM,30,England
Milton Keynes Dons,25,69,O. Sow,7,ST,28,England
Minnesota United FC,27,69,D. Quintero,10,CAM,30,United States
Molde FK,24,71,P. Cibicki,19,LW,26,Norway
Monarcas Morelia,25,71,E. Loeschbor,13,RCB,28,Mexico
Monterrey,25,75,R. Funes Mori,49,ST,26,Mexico
Montpellier HSC,25,76,A. Delort,30,LS,28,France
Montreal Impact,26,69,S. Taïder,30,LCM,29,Canada
Morecambe,25,62,J. Yarney,4,RCB,28,England
Moreirense FC,25,73,M. Loum,6,CDM,25,Portugal
Motherwell,24,68,T. Carson,4,GK,28,England
Málaga CF,25,75,A. N'Diaye,28,RDM,30,Spain
NAC Breda,23,70,L. Ili�?,15,CAM,30,Netherlands
Nagoya Grampus,27,67,Jô,11,ST,27,Japan
Napoli,26,83,L. Insigne,165,LW,25,Italy
Neuchâtel Xamax,27,65,R. Nuzzolo,9,ST,27,Switzerland
New England Revolution,25,70,D. Fagundez,6,CAM,27,United States
New York City FC,25,72,Y. Herrera,24,RM,26,United States
New York Red Bulls,24,73,M. Rzatkowski,26,CM,29,United States
Newcastle Jets,25,68,R. Vargas,4,CAM,24,Australia
Newcastle United,25,77,Kenedy,71,LM,33,England
Newell's Old Boys,26,71,I. Piris,29,RB,28,Argentina
Newport County,25,65,C. Pring,4,LB,26,England
No Club,26,71,P. Tau,0,RW,241,India
Northampton Town,24,66,K. van Veen,5,LS,28,England
Norwich City,25,74,T. Pukki,29,ST,30,England
Nottingham Forest,27,74,K. Ansarifard,51,ST,30,England
Notts County,26,66,K. Hemmings,6,ST,28,England
Nîmes Olympique,25,72,J. Ferri,46,RCM,27,France
OGC Nice,23,79,M. Balotelli,55,LS,28,France
Odds BK,24,70,E. Rashani,3,LW,23,Norway
Odense Boldklub,24,69,S. Grytebust,10,GK,27,Denmark
Ohod Club,26,65,A. Teikeu,10,LCB,25,Saudi Arabia
Oldham Athletic,24,68,S. Surridge,7,ST,25,England
Olympiacos CFP,25,77,G. Masouras,1,RB,28,Greece
Olympique Lyonnais,23,82,M. Depay,93,ST,29,France
Olympique de Marseille,26,78,D. Payet,75,CAM,29,France
Once Caldas,26,71,J. Nieto,4,RCM,28,Colombia
Orlando City SC,26,70,Y. Yotún,8,LDM,30,United States
Orlando Pirates,27,69,M. Nyatama,1,RCM,28,South Africa
Os Belenenses,26,71,Nuno Coelho,5,CDM,24,Portugal
Oxford United,25,68,M. Browne,8,LM,28,England
PAOK,27,75,José Cañas,1,RDM,27,Greece
PEC Zwolle,23,72,O. Bouy,10,LCB,27,Netherlands
PFC CSKA Moscow,23,77,Rodrigo Becão,1,RCB,28,Russia
PSV,22,79,L. de Jong,23,ST,30,Netherlands
Pachuca,25,73,F. Jara,29,ST,29,Mexico
Padova,26,69,L. Clemenza,19,CAM,30,Italy
Palermo,25,74,C. Falletti,21,RF,30,Italy
